pandaid,IObytesRead,IObytesReadRate,IObytesWritten,IObytesWriteRate,inputfilebytes,hs06sec,maxrss,maxvmem,timeStageIn,timeStageOut,wall_time,cpuconsumptiontime,computingsite,workDirSize
3949326261,305616,2523796,368456,3042733,337409933,3889,265148,1345092,49,14,346,110,DESY-HH_UCORE,688128
3949304944,466752,3854468,366260,3024598,335010384,3294,265796,1345104,40,9,293,85,DESY-HH_UCORE,684032
3949304951,404652,2215848,367284,2011223,336128296,5092,265924,1345112,58,13,453,109,DESY-HH_UCORE,684032
3949304956,382976,3137339,366156,2999549,335011666,4283,265968,1345108,37,9,381,101,DESY-HH_UCORE,671744
3949304974,448336,1821809,366992,1491269,335801854,7948,281508,1367608,73,18,707,89,DESY-HH_UCORE,712704
3949304980,301032,4892964,334352,5434546,335645653,2844,266644,1346128,25,6,253,76,DESY-HH_UCORE,684032
3949304981,451928,3702194,370488,3035037,339396086,3788,265688,1345096,41,9,337,96,DESY-HH_UCORE,692224
3949304987,449252,3680272,365980,2998108,334685607,3339,288292,1376320,36,12,297,100,DESY-HH_UCORE,684032
3949304993,337164,2806958,354996,2955413,336971034,4339,264624,1346124,33,10,386,109,DESY-HH_UCORE,679936
3949304996,441916,3649370,367080,3031370,335933189,4395,265604,1345104,36,9,391,106,DESY-HH_UCORE,696320
3949305000,303132,5006567,283664,4685031,336329091,2956,266116,1346136,27,8,263,81,DESY-HH_UCORE,684032
3949305018,268148,4358469,322432,5240799,336708964,3902,266808,1235432,154,20,391,72,BNL_PROD,671744
3949305020,346988,2888745,367104,3056215,335822353,3842,265592,1234484,82,14,385,66,BNL_PROD,671744
3949305021,313400,5176154,280508,4632906,334168504,5659,266512,1234408,227,21,567,84,BNL_PROD,675840
3949305024,303340,5010002,325704,5379369,338006086,3244,266084,1234412,90,19,325,70,BNL_PROD,675840
3949305030,284844,4629845,364912,5931268,334890103,4521,266096,1234408,136,52,453,65,BNL_PROD,679936
3949305049,254504,4136699,285616,4642393,338238714,2866,264140,1346192,30,6,255,81,DESY-HH_UCORE,663552
3949305056,427660,3503390,368816,3021340,337655203,3620,263256,1345096,38,8,322,100,DESY-HH_UCORE,675840
3949305059,386400,3165388,368548,3019145,337463652,4373,265824,1345100,50,9,389,101,DESY-HH_UCORE,675840
3949372600,308096,5088553,366880,6059437,335706888,3643,80968,573116,150,16,365,64,BNL_PROD,679936
3949372610,358208,5916209,367780,6074301,336539048,3763,155796,787476,152,15,377,65,BNL_PROD,675840
3949315100,452224,3734494,368284,3041313,337078218,3923,265576,1345108,34,9,349,100,DESY-HH_UCORE,671744
3949315104,418720,3457816,368088,3039694,336846009,4002,244716,1345080,35,9,356,101,DESY-HH_UCORE,675840
