pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
4011515610,2924552.0,638673.0,539598.0,2470876.0,5072923.0,1107842.0,535719.0,2453114.0,8,340,3893262,20964004,27199050,ROMANIA07_MCORE_ARC,7.194808,34643,340,1.08,0,434305,425693157,75226,2280,4276486,23454780,30160040,4464,1000,1243247550,6917,4717,8,28,4815,1254027291
4011515930,7658756.0,1584676.0,498473.0,2409124.0,6227634.0,1288562.0,989182.0,4780726.0,8,340,4411026,22138696,27632335,IAAS_MCORE,6.8702035,35093,340,0.63,0,388208,424406235,74999,2278,4832119,24211500,30152696,4464,1000,1213583688,3257,4987,15,14,5108,1232417245
4011516339,2939420.0,566741.0,462134.0,2396872.0,4272196.0,823711.0,455089.0,2360334.0,8,340,4322969,21401077,27688428,MWT2_MCORE,7.2581644,39782,340,0.65,0,467858,425715890,75230,2280,4704073,23537508,30129056,4464,1000,1195505409,4395,5347,9,18,5481,1176422222
4011515944,7280916.0,1749333.0,576726.0,2400400.0,5338473.0,1282636.0,1145083.0,4765961.0,8,340,4384809,21833499,27235324,IAAS_MCORE,6.786852,29835,340,0.67,0,334096,424406235,74999,2278,4906818,24234672,30161040,4464,1000,1209801050,3391,4307,13,16,4396,1220263936
4011515590,3335192.0,770759.0,521385.0,2256112.0,2732590.0,631499.0,517396.0,2238852.0,8,340,3902698,21098688,27435307,ROMANIA07_MCORE_ARC,7.068046,33135,340,1.52,0,422850,427410993,75530,2284,4285324,23254120,30145452,4464,1000,1225266145,5493,4506,85,19,4688,1265691087
4011515933,7343272.0,1689777.0,549329.0,2387224.0,6785802.0,1561497.0,1090570.0,4739293.0,8,340,4336196,21927091,27329343,IAAS_MCORE,6.672953,31136,340,0.68,0,354616,424406235,74999,2278,4806315,24242244,30156504,4464,1000,1202972288,3265,4487,14,15,4666,1221863939
4011515923,7595992.0,1569470.0,495518.0,2398232.0,4524384.0,934820.0,983212.0,4758594.0,8,340,4425058,22169449,27660641,IAAS_MCORE,6.877987,35119,340,0.69,0,388056,424406235,74999,2278,4806230,24207800,30153676,4464,1000,1216826934,3221,5017,13,15,5106,1235547375
4011516252,2972536.0,501297.0,418523.0,2481716.0,4884605.0,823754.0,399648.0,2369789.0,8,340,4261276,21334244,27573617,MWT2_MCORE,7.1758847,45409,340,0.76,0,540158,424310974,74982,2278,4655575,23444448,30115980,4464,1000,1200358525,4391,6108,18,61,6328,1210712064
4011516345,3054944.0,404011.0,324024.0,2450116.0,4978861.0,658446.0,319338.0,2414686.0,8,340,3989316,21734317,28291315,MWT2_MCORE,7.3278337,57736,340,3.4,0,672551,425715890,75230,2280,4262659,23288644,30117132,4464,1000,1223293100,4408,7780,12,28,7879,1241655118
4011515998,2612640.0,398294.0,367387.0,2409904.0,3393010.0,517261.0,363239.0,2382695.0,8,340,4318176,21691865,28169798,MWT2_MCORE,7.2739186,49950,340,0.8,0,586167,426546965,75377,2282,4632123,23370240,30128864,4464,1000,1208403714,4392,6769,12,26,6867,1182267627
